ply_file_path,feature_vector_path,type,reference_model,level
/workspace/datasets/or150PStanford/raw_model_148.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/raw_model_148_GT.npy,GT,raw_model_148,0
/workspace/datasets/or150PStanford_data5/raw_model_148/noise1/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise1/level1.npy,GN,raw_model_148,1
/workspace/datasets/or150PStanford_data5/raw_model_148/noise1/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise1/level2.npy,GN,raw_model_148,2
/workspace/datasets/or150PStanford_data5/raw_model_148/noise1/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise1/level3.npy,GN,raw_model_148,3
/workspace/datasets/or150PStanford_data5/raw_model_148/noise1/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise1/level4.npy,GN,raw_model_148,4
/workspace/datasets/or150PStanford_data5/raw_model_148/noise1/level5.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise1/level5.npy,GN,raw_model_148,5
/workspace/datasets/or150PStanford_data5/raw_model_148/noise2/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise2/level1.npy,UN,raw_model_148,1
/workspace/datasets/or150PStanford_data5/raw_model_148/noise2/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise2/level2.npy,UN,raw_model_148,2
/workspace/datasets/or150PStanford_data5/raw_model_148/noise2/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise2/level3.npy,UN,raw_model_148,3
/workspace/datasets/or150PStanford_data5/raw_model_148/noise2/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise2/level4.npy,UN,raw_model_148,4
/workspace/datasets/or150PStanford_data5/raw_model_148/noise2/level5.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise2/level5.npy,UN,raw_model_148,5
/workspace/datasets/or150PStanford_data5/raw_model_148/noise3/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise3/level1.npy,IN,raw_model_148,1
/workspace/datasets/or150PStanford_data5/raw_model_148/noise3/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise3/level2.npy,IN,raw_model_148,2
/workspace/datasets/or150PStanford_data5/raw_model_148/noise3/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise3/level3.npy,IN,raw_model_148,3
/workspace/datasets/or150PStanford_data5/raw_model_148/noise3/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise3/level4.npy,IN,raw_model_148,4
/workspace/datasets/or150PStanford_data5/raw_model_148/noise3/level5.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise3/level5.npy,IN,raw_model_148,5
/workspace/datasets/or150PStanford_data5/raw_model_148/noise4/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise4/level1.npy,EN,raw_model_148,1
/workspace/datasets/or150PStanford_data5/raw_model_148/noise4/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise4/level2.npy,EN,raw_model_148,2
/workspace/datasets/or150PStanford_data5/raw_model_148/noise4/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise4/level3.npy,EN,raw_model_148,3
/workspace/datasets/or150PStanford_data5/raw_model_148/noise4/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise4/level4.npy,EN,raw_model_148,4
/workspace/datasets/or150PStanford_data5/raw_model_148/noise4/level5.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_148/noise4/level5.npy,EN,raw_model_148,5
/workspace/datasets/or150PStanford/raw_model_126.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/raw_model_126_GT.npy,GT,raw_model_126,0
/workspace/datasets/or150PStanford_data5/raw_model_126/noise1/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise1/level1.npy,GN,raw_model_126,1
/workspace/datasets/or150PStanford_data5/raw_model_126/noise1/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise1/level2.npy,GN,raw_model_126,2
/workspace/datasets/or150PStanford_data5/raw_model_126/noise1/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise1/level3.npy,GN,raw_model_126,3
/workspace/datasets/or150PStanford_data5/raw_model_126/noise1/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise1/level4.npy,GN,raw_model_126,4
/workspace/datasets/or150PStanford_data5/raw_model_126/noise1/level5.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise1/level5.npy,GN,raw_model_126,5
/workspace/datasets/or150PStanford_data5/raw_model_126/noise2/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise2/level1.npy,UN,raw_model_126,1
/workspace/datasets/or150PStanford_data5/raw_model_126/noise2/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise2/level2.npy,UN,raw_model_126,2
/workspace/datasets/or150PStanford_data5/raw_model_126/noise2/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise2/level3.npy,UN,raw_model_126,3
/workspace/datasets/or150PStanford_data5/raw_model_126/noise2/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise2/level4.npy,UN,raw_model_126,4
/workspace/datasets/or150PStanford_data5/raw_model_126/noise2/level5.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise2/level5.npy,UN,raw_model_126,5
/workspace/datasets/or150PStanford_data5/raw_model_126/noise3/level1.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise3/level1.npy,IN,raw_model_126,1
/workspace/datasets/or150PStanford_data5/raw_model_126/noise3/level2.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise3/level2.npy,IN,raw_model_126,2
/workspace/datasets/or150PStanford_data5/raw_model_126/noise3/level3.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise3/level3.npy,IN,raw_model_126,3
/workspace/datasets/or150PStanford_data5/raw_model_126/noise3/level4.ply,/workspace/datasets/or150PStanford_data5_feature_vector/raw_model_126/noise3/level4.npy,IN,raw_model_126,4
