path,mos
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\raw_model_0.pth,1.0
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level1.pth,0.94475
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level2.pth,0.90701
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level3.pth,0.86238
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level4.pth,0.81222
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level5.pth,0.75313
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level6.pth,0.69431
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level7.pth,0.64394
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level8.pth,0.59587
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level9.pth,0.56153
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gaussian_noise\level10.pth,0.53107
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\raw_model_0.pth,1.0
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level1.pth,0.98262
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level2.pth,0.96626
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level3.pth,0.96142
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level4.pth,0.95896
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level5.pth,0.95137
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level6.pth,0.94705
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level7.pth,0.94235
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level8.pth,0.93347
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level9.pth,0.92401
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level10.pth,0.92431
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\raw_model_0.pth,1.0
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level1.pth,0.7939
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level2.pth,0.73928
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level3.pth,0.76275
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level4.pth,0.76685
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level5.pth,0.77916
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level6.pth,0.79167
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level7.pth,0.81452
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level8.pth,0.81537
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level9.pth,0.81598
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\impulse_noise\level10.pth,0.81326
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\index_noise\raw_model_0.pth,1.0
