path,mos
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_137\impulse_noise\level9.pth,0.59194
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_129\gaussian_noise\level10.pth,0.56664
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_10\index_noise\level2.pth,0.92418
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_124\gaussian_noise\level9.pth,0.63579
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_104\random_downsample\level2.pth,0.97301
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_90\random_downsample\level9.pth,0.88703
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_135\impulse_noise\level1.pth,0.78573
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_19\gaussian_noise\level3.pth,0.87139
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_59\index_noise\level1.pth,0.95606
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_30\impulse_noise\level3.pth,0.7675
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_142\gridAverage_downsample\level6.pth,0.83085
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_69\OctreeCom\level5.pth,0.91936
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_117\gaussian_noise\level1.pth,0.88619
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_0\gridAverage_downsample\level5.pth,0.95137
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_137\gaussian_noise\level5.pth,0.74071
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_54\gaussian_noise\level3.pth,0.86691
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_98\OctreeCom\level8.pth,0.65687
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_138\uniform_noise\level4.pth,0.38695
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_6\OctreeCom\level7.pth,0.85467
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_127\impulse_noise\level2.pth,0.57114
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_141\OctreeCom\raw_model_141.pth,1.0
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_123\impulse_noise\level9.pth,0.61228
E:\homegate\R_Quality_Assessment\Dataset\Data10_fixed_fps_64_128\raw_model_83\random_downsample\level5.pth,0.97448
