ply_file_path,feature_vector_path,type,reference_model,level
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/raw_model_33.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/raw_model_33_GT.npy,GT,raw_model_33,0
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise1/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise1/level1.npy,GN,raw_model_33,1
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise1/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise1/level2.npy,GN,raw_model_33,2
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise1/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise1/level3.npy,GN,raw_model_33,3
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise1/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise1/level4.npy,GN,raw_model_33,4
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise1/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise1/level5.npy,GN,raw_model_33,5
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise2/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise2/level1.npy,UN,raw_model_33,1
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise2/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise2/level2.npy,UN,raw_model_33,2
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise2/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise2/level3.npy,UN,raw_model_33,3
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise2/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise2/level4.npy,UN,raw_model_33,4
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise2/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise2/level5.npy,UN,raw_model_33,5
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise3/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise3/level1.npy,IN,raw_model_33,1
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise3/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise3/level2.npy,IN,raw_model_33,2
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise3/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise3/level3.npy,IN,raw_model_33,3
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise3/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise3/level4.npy,IN,raw_model_33,4
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise3/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise3/level5.npy,IN,raw_model_33,5
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise4/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise4/level1.npy,EN,raw_model_33,1
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise4/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise4/level2.npy,EN,raw_model_33,2
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise4/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise4/level3.npy,EN,raw_model_33,3
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise4/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise4/level4.npy,EN,raw_model_33,4
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/noise4/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/noise4/level5.npy,EN,raw_model_33,5
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/sd/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/sd/level1.npy,SD,raw_model_33,1
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/sd/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/sd/level2.npy,SD,raw_model_33,2
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/sd/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/sd/level3.npy,SD,raw_model_33,3
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/sd/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/sd/level4.npy,SD,raw_model_33,4
/workspace/datasets/or150PStanford_data5_v2/raw_model_33/sd/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/raw_model_33/sd/level5.npy,SD,raw_model_33,5
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/LegoLeg_100K.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/LegoLeg_100K_GT.npy,GT,LegoLeg_100K,0
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise1/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise1/level1.npy,GN,LegoLeg_100K,1
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise1/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise1/level2.npy,GN,LegoLeg_100K,2
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise1/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise1/level3.npy,GN,LegoLeg_100K,3
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise1/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise1/level4.npy,GN,LegoLeg_100K,4
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise1/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise1/level5.npy,GN,LegoLeg_100K,5
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise2/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise2/level1.npy,UN,LegoLeg_100K,1
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise2/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise2/level2.npy,UN,LegoLeg_100K,2
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise2/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise2/level3.npy,UN,LegoLeg_100K,3
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise2/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise2/level4.npy,UN,LegoLeg_100K,4
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise2/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise2/level5.npy,UN,LegoLeg_100K,5
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise3/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise3/level1.npy,IN,LegoLeg_100K,1
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise3/level2.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise3/level2.npy,IN,LegoLeg_100K,2
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise3/level3.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise3/level3.npy,IN,LegoLeg_100K,3
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise3/level4.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise3/level4.npy,IN,LegoLeg_100K,4
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise3/level5.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise3/level5.npy,IN,LegoLeg_100K,5
/workspace/datasets/or150PStanford_data5_v2/LegoLeg_100K/noise4/level1.ply,/workspace/datasets/or150PStanford_data5_v2_feature_vector/LegoLeg_100K/noise4/level1.npy,EN,LegoLeg_100K,1
